"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"12365",1757000,390000,0.005144,0.0002336,0.0005324,0.0048972,0.0043712,0.0008296,0.02663,0.0003276,0.0018168,1.48e-05,0.0005324,0.106288,0.0007424,0.0404724,0.322334,0.4278776,4.16e-05,7.6e-05,0.0011104,0.0327496,0.0152644,4.68e-05,0.0076672
"12366",1765000,390000,0.0044228,0.000556,0.0005112,0.0040444,0.0031816,0.0004052,0.0108272,0.0001316,0.00103,2e-06,0.0002372,0.105778,0.0004224,0.0352772,0.3073996,0.483074,9.8e-05,1.44e-05,0.000506,0.0249204,0.0116796,8e-06,0.0054732
"12367",1773000,390000,0.0047796,0.0005988,0.0006112,0.0064864,0.003434,0.0004416,0.0348676,0.0002616,0.0013064,5.2e-06,0.0006096,0.0885316,0.0004392,0.0462384,0.5250136,0.2371472,6.44e-05,3.2e-06,0.0006968,0.0201072,0.0184956,8.4e-06,0.0098524
"12593",1213000,398000,0.0439676,4.24e-05,0.0072972,0.2535248,0.000868,0.0045276,0.0043152,0.0112448,0.0559036,1.68e-05,0.0003348,0.0944964,0.00622,0.2950256,0.0900384,0.0005192,4e-07,9.6e-06,0.0296408,0.0839736,0.006228,1.84e-05,0.0117868
"12596",1237000,398000,0.0118664,4e-06,0.0017792,0.0132424,0.0002904,0.0036048,0.0070904,0.0414576,0.010642,1.84e-05,0.0001076,0.088574,0.0068344,0.0399772,0.732892,9.2e-05,2e-07,6.8e-06,0.010132,0.011722,0.0163848,2e-06,0.0032796
"12597",1245000,398000,0.0178776,4e-06,0.0030828,0.0177528,0.0005104,0.0076972,0.012204,0.0653352,0.0146208,8e-07,0.0002096,0.1329052,0.0128424,0.0531052,0.5925468,0.0003768,8e-07,2.2e-05,0.0155924,0.0196372,0.0278784,7.6e-06,0.00579
"12598",1253000,398000,0.020662,3.16e-05,0.0034116,0.024612,0.0005684,0.010664,0.007352,0.055112,0.0131384,2.4e-06,0.0002264,0.145576,0.0142292,0.0454588,0.5935576,0.000326,8e-07,1.48e-05,0.0133468,0.0249024,0.0203552,1.24e-05,0.0064392
"12599",1261000,398000,0.0214884,1.04e-05,0.0030512,0.015936,0.0004724,0.0160796,0.0018364,0.0457952,0.0106252,2.4e-06,0.0001068,0.1413828,0.0103396,0.0329712,0.6558384,0.0001168,2e-07,8.8e-06,0.0091116,0.022122,0.0096816,6.4e-06,0.0030168
"12600",1269000,398000,0.0264576,8e-07,0.0050684,0.0299408,0.0014848,0.0133112,0.0091776,0.0617008,0.01367,2.8e-06,0.0004572,0.1539548,0.01513,0.0564272,0.5430492,0.0003336,2.4e-06,4.16e-05,0.0159436,0.0290088,0.01815,2.76e-05,0.0066592
"12601",1277000,398000,0.0255916,1.2e-06,0.0068032,0.0418848,0.0027688,0.0116656,0.0197424,0.064156,0.0167664,2.8e-06,0.00054,0.147842,0.0170736,0.0621272,0.5002244,0.0018536,1.2e-05,8.24e-05,0.0176068,0.033332,0.0220516,5.12e-05,0.0078204
